Iter MassIn(kg/s) MassOut(kg/s) Ratio
0 2.96441 2.46158e-135 0
1 3.01777 9.30578e-72 0
2 3.07113 6.30484e-49 0
3 3.12449 3.38434e-37 0
4 3.17785 4.58768e-30 0
5 3.23121 2.85745e-25 0
6 3.28457 7.97253e-22 0
7 3.33793 3.15463e-19 0
8 3.39129 3.37485e-17 0
9 3.44465 1.4406e-15 0
10 3.49801 3.14642e-14 0
11 3.55137 4.15235e-13 0
12 3.60473 3.71631e-12 9.69975e+11
13 3.65809 2.44994e-11 1.49313e+11
14 3.71145 1.26413e-10 2.93596e+10
15 3.7648 5.34354e-10 7.04553e+09
16 3.81816 1.91617e-09 1.9926e+09
17 3.87152 5.98996e-09 6.46336e+08
18 3.92488 1.66776e-08 2.35339e+08
19 3.97824 4.20766e-08 9.45476e+07
20 4.0316 9.75456e-08 4.13304e+07
21 4.08496 2.10182e-07 1.94353e+07
22 4.13832 4.24924e-07 9.73898e+06
23 4.19168 8.12407e-07 5.15958e+06
24 4.24504 1.47864e-06 2.87091e+06
25 4.2984 2.5764e-06 1.66838e+06
26 4.35176 4.31821e-06 1.00777e+06
27 4.40512 6.99063e-06 630147
28 4.45848 1.09695e-05 406442
29 4.51184 1.6736e-05 269589
30 4.5652 2.48926e-05 183396
31 4.61856 3.61794e-05 127657
32 4.67192 5.14896e-05 90735.1
33 4.72527 7.18845e-05 65734.2
34 4.77863 9.86074e-05 48461.2
35 4.83199 0.000133096 36304.6
36 4.88535 0.000176994 27601.8
37 4.93871 0.00023216 21272.9
38 4.99207 0.000300677 16602.8
39 5.04543 0.000384856 13109.9
40 5.09879 0.000487244 10464.5
41 5.15215 0.000610626 8437.49
42 5.20551 0.000758024 6867.21
43 5.25887 0.0009327 5638.33
44 5.31223 0.00113815 4667.41
45 5.36559 0.00137812 3893.42
46 5.41895 0.00165656 3271.21
47 5.47231 0.00197766 2767.06
48 5.52567 0.00234584 2355.52
49 5.57903 0.00276571 2017.21
50 5.63239 0.0032421 1737.26
51 5.68574 0.00378003 1504.15
52 5.7391 0.00438471 1308.89
53 5.79246 0.00506152 1144.41
54 5.84582 0.00581601 1005.13
55 5.89918 0.00665388 886.578
56 5.95254 0.007581 785.192
57 6.0059 0.00860336 698.088
58 6.05926 0.00972706 622.928
59 6.11262 0.0109583 557.805
60 6.16598 0.0123035 501.156
61 6.21934 0.0137691 451.69
62 6.2727 0.0153614 408.341
63 6.32606 0.0170872 370.222
64 6.37942 0.0189531 336.59
65 6.43278 0.0209657 306.824
66 6.48614 0.0231318 280.399
67 6.5395 0.0254582 256.872
68 6.59286 0.0279517 235.866
69 6.64621 0.030619 217.062
70 6.69957 0.033467 200.185
71 6.75293 0.0365025 184.999
72 6.80629 0.0397323 171.304
73 6.85965 0.0431632 158.924
74 6.91301 0.0468019 147.708
75 6.96637 0.0506552 137.525
76 7.01973 0.0547297 128.262
77 7.07309 0.0590321 119.818
78 7.12645 0.063569 112.106
79 7.17981 0.068347 105.049
80 7.23317 0.0733724 98.5817
81 7.28653 0.0786517 92.643
82 7.33989 0.0841912 87.1812
83 7.39325 0.0899971 82.1498
84 7.44661 0.0960757 77.5077
85 7.49997 0.102433 73.2182
86 7.55333 0.109075 69.2489
87 7.60668 0.116008 65.5706
88 7.66004 0.123237 62.1572
89 7.7134 0.130768 58.9855
90 7.76676 0.138607 56.0346
91 7.82012 0.146758 53.2857
92 7.87348 0.155229 50.7217
93 7.92684 0.164023 48.3275
94 7.9802 0.173147 46.0892
95 8.03356 0.182604 43.9944
96 8.08692 0.192401 42.0317
97 8.14028 0.202541 40.1908
98 8.19364 0.21303 38.4624
99 8.247 0.223871 36.8381
100 8.30036 0.235071 35.3101
101 8.35372 0.246632 33.8712
102 8.40708 0.258559 32.5151
103 8.46044 0.270856 31.2359
104 8.5138 0.283528 30.0281
105 8.56715 0.296577 28.8868
106 8.62051 0.310008 27.8074
