Iter Core_Total(Pa) Full_Total(Pa) Core_Static(Pa) Full_Static(Pa)
0 0 3000 0 3000
1 0 5999.98 0 6000
2 0 8999.94 0 9000
3 0 11999.9 0 12000
4 0 14999.8 0 15000
5 0 17999.6 0 18000
6 0 20999.5 0 21000
7 0 23999.3 0 24000
8 0 26999.1 0 27000
9 0 29998.9 0 30000
10 0 32998.7 0 33000
11 0 35998.4 0 36000
12 0 38998.2 0 39000
13 0 41997.9 0 42000
14 0 44997.6 0 45000
15 0 47997.3 0 48000
16 677.837 50996.9 1176.34 51000
17 6664.19 53996.6 7176.34 54000
18 12653.4 56996.3 13176.3 57000
19 18645 59995.9 19176.3 60000
20 24638.6 62995.5 25176.3 63000
21 30633.9 65995.2 31176.3 66000
22 36630.6 68994.8 37176.3 69000
23 42628.4 71994.4 43176.3 72000
24 48627.2 74994 49176.3 75000
25 54626.8 77993.6 55176.3 78000
26 60626.9 80993.2 61176.3 81000
27 66627.6 83992.8 67176.3 84000
28 72628.6 86992.4 73176.3 87000
29 78629.9 89991.9 79176.3 90000
30 84631.5 92991.5 85176.3 93000
31 90633.1 95991.1 91176.3 96000
32 96634.8 98990.6 97176.3 99000
33 102637 101990 103176 102000
34 108638 104990 109176 105000
35 114640 107989 115176 108000
36 120642 110989 121176 111000
37 126643 113988 127176 114000
38 132645 116988 133176 117000
39 135918 119988 136417 120000
40 135896 122987 136417 123000
41 129868 125987 130417 126000
42 123834 128986 124417 129000
43 117795 131986 118417 132000
44 111866 134985 112417 135000
45 107282 131985 107784 132000
46 103575 128984 104076 129000
47 100041 125984 100542 126000
48 96639.3 122983 97139.5 123000
49 93337.7 119983 93837.9 120000
50 90112.4 116982 90612.4 117000
51 86944.8 113982 87444.8 114000
52 83821.2 110982 84321.2 111000
53 80730.9 107981 81231 108000
54 77665.9 104981 78166.1 105000
55 74620.1 101980 75120.4 102000
56 71588.8 98979.8 72089.3 99000
57 68568.6 95979.3 69069.3 96000
58 65556.7 92978.9 66057.7 93000
59 62551.1 89978.4 63052.4 90000
60 59550.3 86978 60052 87000
61 56553 83977.6 57055.2 84000
62 53558.5 80977.1 54061.2 81000
63 50566 77976.7 51069.2 78000
64 47575.1 74976.3 48078.8 75000
65 44585.2 71975.8 45089.6 72000
66 41596.2 68975.4 42101.3 69000
67 38607.7 65975 39113.6 66000
68 35619.7 62974.5 36126.3 63000
69 32632 59974.1 33139.4 60000
70 29644.5 56973.7 30152.8 57000
71 26657.2 53973.3 27166.3 54000
72 23669.9 50972.9 24179.8 51000
73 20682.6 47972.4 21193.5 48000
74 17695.4 44972 18207.2 45000
