Iter MassResid UResid VResid Core_dP_AfterInletBuffer(Pa) Full_dP_FullSystem(Pa)
0 0.04985 0 0 0 3000
1 0.0374132 0.391202 1.15904e-15 0 5999.98
2 0.0357431 0.0955151 0.000902318 0 8999.94
3 0.0312209 0.0840728 0.000937283 0 11999.9
4 0.0296953 0.079461 0.00115196 0 14999.8
5 0.0251187 0.081614 0.00120404 0 17999.6
6 0.0372907 0.0861091 0.00141328 0 20999.5
7 0.0297356 0.0738793 0.000826575 0 23999.3
8 0.0372274 0.0707951 0.00111827 0 26999.1
9 0.035264 0.37752 0.00064999 0 29998.9
10 0.0386793 0.181502 0.00170951 0 32998.7
11 0.0418948 0.117986 0.00081345 0 35998.4
12 0.0386064 0.253472 0.000564199 0 38998.2
13 0.0363796 0.381872 0.00260347 0 41997.9
14 0.0346532 0.217719 0.001083 0 44997.6
15 0.0334697 0.188242 0.0113322 0 47997.3
16 0.0378286 0.144161 0.0067044 677.837 50996.9
17 0.0348015 0.30403 0.0121644 6664.19 53996.6
18 0.0328034 0.251144 0.00954673 12653.4 56996.3
19 0.0429947 0.11904 0.012599 18645 59995.9
20 0.0396382 0.182991 0.0129979 24638.6 62995.5
21 0.0378408 0.143816 0.011839 30633.9 65995.2
22 0.0386408 0.136384 0.0215787 36630.6 68994.8
23 0.0405208 0.119682 0.0166152 42628.4 71994.4
24 0.037319 0.34632 0.00805347 48627.2 74994
25 0.0351685 0.383507 0.0230527 54626.8 77993.6
26 0.0335119 0.318229 0.0122901 60626.9 80993.2
27 0.0372693 0.201032 0.00718805 66627.6 83992.8
28 0.0408269 0.155319 0.0144534 72628.6 86992.4
29 0.0382168 0.145799 0.0157391 78629.9 89991.9
30 0.0393079 0.140508 0.0094173 84631.5 92991.5
31 0.0425221 0.13704 0.0148318 90633.1 95991.1
32 0.0396395 0.37308 0.0101206 96634.8 98990.6
33 0.0374589 0.191852 0.00689397 102637 101990
34 0.0356901 0.298146 0.0161485 108638 104990
35 0.0342091 0.363666 0.0157218 114640 107989
36 0.0421615 0.185914 0.014049 120642 110989
37 0.0393349 0.314019 0.0173811 126643 113988
38 0.0371734 0.257842 0.0175064 132645 116988
39 0.0388934 0.247314 0.0277484 135918 119988
40 0.0401388 0.281172 0.0264092 135896 122987
41 0.0383635 0.319851 0.0258337 129868 125987
42 0.054141 0.389373 0.0283336 123834 128986
43 0.0742563 0.530244 0.0250168 117795 131986
44 0.0852071 0.814523 0.0334635 111866 134985
45 0.0886847 0.664197 0.0470419 107282 131985
46 0.0872426 0.605455 0.099567 103575 128984
47 0.10322 0.974095 0.121339 100041 125984
48 0.106301 0.649536 0.0713533 96639.3 122983
49 0.109007 0.894384 0.11479 93337.7 119983
50 0.11328 0.569442 0.0716003 90112.4 116982
51 0.116845 1.10963 0.0680719 86944.8 113982
52 0.119172 0.565364 0.0942046 83821.2 110982
53 0.119606 1.1106 0.0774477 80730.9 107981
54 0.114773 0.525494 0.158293 77665.9 104981
55 0.124565 1.56904 0.0740721 74620.1 101980
56 0.133008 1.04081 0.06523 71588.8 98979.8
57 0.14106 1.04179 0.0422617 68568.6 95979.3
58 0.148701 1.06789 0.0841135 65556.7 92978.9
59 0.155345 1.09429 0.0516425 62551.1 89978.4
60 0.16145 1.0382 0.0949192 59550.3 86978
61 0.167721 1.04806 0.0803777 56553 83977.6
62 0.175493 1.05209 0.189943 53558.5 80977.1
63 0.18193 2.17383 0.111459 50566 77976.7
64 0.187217 1.05133 0.129631 47575.1 74976.3
65 0.19089 1.44295 0.12895 44585.2 71975.8
66 0.192189 1.15357 0.0734603 41596.2 68975.4
67 0.199257 1.56643 0.0953695 38607.7 65975
68 0.207808 1.89 0.0675746 35619.7 62974.5
69 0.216143 2.95843 0.0783687 32632 59974.1
70 0.223992 2.12978 0.187831 29644.5 56973.7
71 0.231473 1.0629 0.178442 26657.2 53973.3
72 0.238693 1.46944 0.196993 23669.9 50972.9
73 0.245759 1.5025 0.134248 20682.6 47972.4
74 0.252739 1.48722 0.120606 17695.4 44972
75 0.259517 1.73637 0.12142 14708.1 41971.6
76 0.235507 1.68254 0.220419 11720.8 38971.2
77 0.229505 2.82628 0.24352 8733.4 35970.8
78 0.207225 1.74835 0.187109 5745.94 32970.4
79 0.209561 1.64043 0.194267 2758.41 29970
80 0.212005 2.84048 0.200918 -229.223 26969.6
81 0.214539 1.67434 0.206032 -3216.95 23969.2
82 0.217146 1.724 0.208929 -6204.78 20968.8
83 0.219812 1.68856 0.447125 -9192.71 17968.4
84 0.223306 2.7621 0.239783 -12180.7 14968
85 0.225283 1.92277 0.370177 -15168.9 11967.6
86 0.213851 1.24173 0.208328 -18157.2 8967.23
87 0.203557 1.5311 0.312944 -21145.5 5966.85
88 0.212482 2.58905 0.308554 -24134 2966.46
89 0.22059 1.99369 0.484741 -27122.6 -33.9178
90 0.227948 2.03821 0.158541 -30111.3 -3034.3
91 0.234618 2.88683 0.399199 -33100.1 -6034.67
92 0.240657 2.20752 0.263249 -36089 -9035.05
93 0.243148 1.57258 0.19181 -34951.4 -12035.4
94 0.25434 2.90136 0.36923 -31906.5 -15035.8
95 0.264307 1.71351 0.503035 -28861.7 -18036.2
96 0.2688 1.59897 0.876612 -25817.1 -21036.5
97 0.27911 0.914182 0.386006 -22773 -24036.9
98 0.281639 0.867158 0.360571 -19729.4 -27037.3
99 0.284144 1.18886 0.285006 -16686.7 -30037.6
100 0.286649 1.48853 0.387484 -13644.9 -33038
101 0.289162 2.17426 0.322502 -10604.1 -36038.3
102 0.291689 3.00159 0.278975 -7564.6 -39038.7
103 0.294278 1.87497 0.369445 -4526.34 -42039
104 0.290678 1.93217 0.291304 -1489.46 -45039.4
105 0.254337 1.86174 0.393436 1545.97 -47518.5
106 0.245833 1.30683 0.727547 4579.91 -44518.8
107 0.228879 2.68955 0.161072 1612.32 -41519.2
108 0.236436 2.03752 0.217563 2074.22 -38519.5
109 0.243839 2.9058 0.467935 -995.692 -35519.9
110 0.256025 2.93935 0.387612 -4061.25 -32520.2
111 0.255497 2.01254 0.336455 -7122.15 -29520.6
112 0.257173 2.79414 0.328184 -10178.1 -26520.9
113 0.262511 2.94739 0.368229 -13228.8 -23521.2
114 0.269784 2.22472 0.532774 -16273.3 -20521.6
115 0.27337 3.08589 0.419735 -17461.3 -17521.9
116 0.272722 3.01984 0.350171 -16961.1 -14522.2
117 0.269352 2.38974 0.558814 -14805.4 -11522.6
118 0.241856 2.27076 0.530246 -16745 -8522.9
119 0.24892 2.62746 0.482457 -15767.3 -5523.22
120 0.233349 1.22748 0.797358 -12760.3 -2523.55
121 0.250762 2.95293 0.469146 -9753.38 476.124
122 0.265735 1.13364 0.311937 -6746.82 3475.8
123 0.273906 2.13049 0.244243 -3838.14 6475.48
124 0.275673 1.65185 0.329028 -2403.26 9475.16
125 0.277444 2.31485 0.159249 -1075.68 12474.8
126 0.279218 1.59097 0.248219 352.945 15474.5
127 0.280963 1.03621 0.266268 2374.92 18474.2
128 0.28261 1.5908 0.493451 4027.18 21473.9
129 0.283093 1.86024 0.197077 4882.85 24473.6
130 0.255631 0.719349 0.249146 5521.91 27473.3
131 0.21064 1.15811 0.260964 6052.66 29994.4
132 0.10107 1.97192 0.352573 6475.63 26994.1
133 0.0916039 0.899807 0.238695 6813.08 23993.8
134 0.0925445 0.641098 0.194388 7012.96 20993.5
135 0.0600121 0.440438 0.200352 7224.7 17993.2
136 0.0828809 0.62864 0.136612 7438.7 14992.9
137 0.0278487 0.247069 0.115713 7617.32 12094.3
138 0.017084 0.335434 0.112137 7732.09 11846.1
139 0.020372 0.475682 0.0960318 7820.58 12041
140 0.00991792 0.170683 0.0689751 7951.99 12261.5
141 0.00774478 0.199133 0.0657429 8065.77 12448.8
142 0.0120654 0.303115 0.0600048 8156.41 12599.4
143 0.00460612 0.156293 0.0524668 8257.97 12749.3
144 0.00535083 0.157105 0.052036 8351.13 12880.9
145 0.00385156 0.139406 0.0519619 8436.65 12996.7
146 0.00194419 0.0712909 0.0497067 8523.09 13106.7
147 0.00143612 0.0742267 0.0452079 8601.09 13202.3
148 0.00106918 0.0506246 0.0393609 8672.26 13286.2
149 0.000808517 0.0432597 0.0358607 8734.1 13356.7
150 0.000941561 0.0398098 0.0369467 8787.44 13415.3
151 0.000766394 0.037631 0.0368353 8831.56 13461.7
152 0.000524979 0.0357841 0.0331213 8867.17 13497.3
153 0.000586642 0.0339478 0.0316822 8895.15 13523
154 0.000661067 0.0319857 0.031113 8916.41 13540.3
155 0.000640743 0.0308548 0.0315092 8931.64 13550
156 0.000482502 0.0299203 0.0308124 8941.6 13553.1
157 0.000412762 0.0288591 0.0264221 8946.98 13550.4
158 0.000496558 0.0278868 0.0263917 8948.17 13542.4
159 0.000473974 0.0263384 0.0271207 8945.94 13530.1
160 0.000430389 0.0258395 0.0269614 8940.63 13513.9
161 0.000337302 0.0252953 0.0249478 8932.47 13494
162 0.000377785 0.0249631 0.0227787 8921.36 13470.1
163 0.000376051 0.0240929 0.0238375 8907.9 13443.1
164 0.000348649 0.0233566 0.0241301 8892.33 13413.4
165 0.000317431 0.0232165 0.02348 8874.68 13380.8
166 0.00029213 0.0229595 0.0210431 8854.96 13345.4
167 0.0003037 0.0226817 0.0215719 8833.19 13307.1
168 0.000302169 0.0224597 0.0220718 8809.74 13266.6
169 0.000270779 0.022028 0.0216432 8784.76 13224
170 0.000235756 0.0215877 0.0198855 8758.11 13179.1
171 0.000259022 0.0220309 0.020015 8729.51 13131.5
172 0.000264622 0.0220181 0.0205031 8699.57 13082.1
173 0.000229226 0.0217034 0.0196862 8668.57 13031.4
174 0.000216804 0.02139 0.0185102 8636.14 12978.7
175 0.000231146 0.0213637 0.0188329 8602.26 12924.1
176 0.000228023 0.0213973 0.0190567 8567.42 12868.3
177 0.00018711 0.0211582 0.0179564 8531.79 12811.6
178 0.000196485 0.0209677 0.0172527 8494.61 12752.9
179 0.00021202 0.0208627 0.0178325 8456.42 12692.9
180 0.000182127 0.020794 0.0171638 8417.79 12632.5
181 0.000168686 0.0206483 0.0165889 8378.19 12571
182 0.000191884 0.020308 0.0166119 8337.42 12508.1
183 0.000171698 0.0202964 0.0163198 8296.42 12445.1
184 0.000150173 0.0202247 0.0159809 8254.82 12381.4
185 0.000174552 0.0200173 0.0155364 8212.08 12316.5
186 0.000156807 0.0197619 0.0155277 8169.32 12251.7
187 0.000139689 0.0197718 0.0153854 8126.14 12186.7
188 0.000161273 0.0195863 0.015072 8082.1 12120.6
189 0.00013889 0.0192286 0.0148255 8038.27 12055.2
190 0.000134882 0.0193143 0.0148279 7994 11989.3
191 0.000147195 0.0190592 0.0145857 7949.34 11923.2
192 0.000120586 0.0187427 0.0142179 7905.01 11857.8
193 0.000133609 0.0188773 0.0143131 7860.03 11791.6
194 0.000130204 0.018485 0.014092 7815.28 11726
195 0.00010939 0.0183381 0.0137837 7770.77 11661
196 0.00012971 0.0184077 0.0138744 7725.67 11595.3
197 0.000116773 0.0178749 0.0135886 7681.26 11530.7
198 0.00011369 0.0179451 0.0134237 7637.03 11466.5
199 0.00011512 0.0177512 0.0134377 7593.01 11402.7
200 0.000104663 0.0174249 0.0130725 7549.44 11339.7
201 0.000114147 0.017499 0.0130937 7505.9 11276.8
202 0.000107612 0.0170698 0.0129529 7463.1 11215
203 0.000103901 0.0170391 0.0126069 7420.75 11153.9
204 0.000100482 0.0168623 0.0127211 7378.76 11093.3
205 9.64566e-05 0.0166052 0.0124792 7337.11 11033.3
206 0.000100231 0.0166349 0.0123722 7295.71 10973.7
207 9.90359e-05 0.0162121 0.0122962 7254.92 10915
208 9.73537e-05 0.016252 0.0120179 7214.74 10857.2
209 9.54821e-05 0.0159756 0.012061 7175.12 10800.3
210 9.18573e-05 0.0158482 0.0119452 7136.04 10744.1
211 8.63306e-05 0.0157288 0.0117663 7097.35 10688.6
212 8.93585e-05 0.0155071 0.0117987 7058.86 10633.4
213 8.59613e-05 0.0154957 0.0114731 7020.91 10579
214 9.08924e-05 0.0151184 0.0116175 6983.36 10525.3
